,0
0,1.7937917456535515e-87
1,1.7937917454857913e-87
2,1.7937917453177358e-87
3,1.7937917451493847e-87
4,1.7937917449807373e-87
5,1.7937917448117926e-87
6,1.7937917446425512e-87
7,1.7937917444730118e-87
8,1.7937917443031742e-87
9,1.7937917441330374e-87
10,1.7937917439626016e-87
11,1.7937917437918654e-87
12,1.7937917436208292e-87
13,1.7937917434494918e-87
14,1.7937917432778529e-87
15,1.7937917431059116e-87
16,1.7937917429336683e-87
17,1.7937917427611214e-87
18,1.793791742588271e-87
19,1.7937917424151166e-87
20,1.7937917422416578e-87
21,1.793791742067893e-87
22,1.7937917418938226e-87
23,1.793791741719446e-87
24,1.7937917415447625e-87
25,1.793791741369772e-87
26,1.7937917411944733e-87
27,1.7937917410188657e-87
28,1.7937917408429497e-87
29,1.7937917406667238e-87
30,1.7937917404901879e-87
31,1.793791740313341e-87
32,1.793791740136183e-87
33,1.7937917399587135e-87
34,1.7937917397809314e-87
35,1.7937917396028367e-87
36,1.7937917394244285e-87
37,1.7937917392457063e-87
38,1.7937917390666696e-87
39,1.7937917388873177e-87
40,1.7937917387076504e-87
41,1.793791738527667e-87
42,1.7937917383473667e-87
43,1.793791738166749e-87
44,1.7937917379858134e-87
45,1.7937917378045597e-87
46,1.7937917376229868e-87
47,1.7937917374410946e-87
48,1.793791737258882e-87
49,1.7937917370763488e-87
50,1.7937917368934947e-87
51,1.7937917367103187e-87
52,1.7937917365268202e-87
53,1.7937917363429988e-87
54,1.793791736158854e-87
55,1.793791735974385e-87
56,1.7937917357895915e-87
57,1.793791735604473e-87
58,1.7937917354190283e-87
59,1.7937917352332576e-87
60,1.79379173504716e-87
61,1.7937917348607345e-87
62,1.793791734673981e-87
63,1.793791734486899e-87
64,1.793791734299488e-87
65,1.793791734111747e-87
66,1.7937917339236755e-87
67,1.7937917337352732e-87
68,1.7937917335465395e-87
69,1.7937917333574735e-87
70,1.7937917331680747e-87
71,1.7937917329783428e-87
72,1.7937917327882767e-87
73,1.7937917325978762e-87
74,1.7937917324071409e-87
75,1.79379173221607e-87
76,1.7937917320246622e-87
77,1.7937917318329183e-87
78,1.7937917316408364e-87
79,1.7937917314484167e-87
80,1.7937917312556585e-87
81,1.7937917310625609e-87
82,1.7937917308691239e-87
83,1.793791730675346e-87
84,1.7937917304812272e-87
85,1.793791730286767e-87
86,1.7937917300919643e-87
87,1.7937917298968193e-87
88,1.7937917297013303e-87
89,1.7937917295054975e-87
90,1.7937917293093205e-87
91,1.7937917291127976e-87
92,1.7937917289159294e-87
93,1.793791728718714e-87
94,1.7937917285211523e-87
95,1.7937917283232427e-87
96,1.7937917281249846e-87
97,1.793791727926378e-87
98,1.7937917277274217e-87
99,1.7937917275281152e-87
100,1.7937917273284583e-87
101,1.7937917271284496e-87
102,1.793791726928089e-87
103,1.7937917267273762e-87
104,1.7937917265263098e-87
105,1.7937917263248895e-87
106,1.793791726123115e-87
107,1.7937917259209855e-87
108,1.7937917257184997e-87
109,1.793791725515658e-87
110,1.7937917253124596e-87
111,1.7937917251089032e-87
112,1.7937917249049887e-87
113,1.7937917247007154e-87
114,1.7937917244960827e-87
115,1.7937917242910897e-87
116,1.7937917240857364e-87
117,1.793791723880021e-87
118,1.793791723673944e-87
119,1.7937917234675045e-87
120,1.7937917232607013e-87
121,1.7937917230535344e-87
122,1.793791722846003e-87
123,1.7937917226381064e-87
124,1.7937917224298436e-87
125,1.7937917222212147e-87
126,1.7937917220122184e-87
127,1.7937917218028548e-87
128,1.7937917215931222e-87
129,1.7937917213830208e-87
130,1.7937917211725495e-87
131,1.7937917209617078e-87
132,1.7937917207504951e-87
133,1.7937917205389108e-87
134,1.7937917203269542e-87
135,1.7937917201146245e-87
136,1.7937917199019212e-87
137,1.7937917196888436e-87
138,1.7937917194753907e-87
139,1.7937917192615625e-87
140,1.7937917190473582e-87
141,1.7937917188327764e-87
142,1.7937917186178173e-87
143,1.79379171840248e-87
144,1.7937917181867637e-87
145,1.7937917179706677e-87
146,1.7937917177541914e-87
147,2.175213350676559e-11
148,5.0555291712138046e-11
149,6.940852932250324e-11
150,8.426253390589094e-11
151,9.681042665380467e-11
152,1.0693658240680023e-10
153,1.1643059079471522e-10
154,1.254594185107574e-10
155,1.342612752571049e-10
156,1.4318890412057412e-10
157,1.522391470600056e-10
158,1.6186265685048674e-10
159,1.7176872765519708e-10
160,1.8211639598777045e-10
161,1.9312227809501016e-10
162,2.0451018072061752e-10
163,2.166633528494359e-10
164,2.294758430691684e-10
165,2.4275943407866826e-10
166,2.571241369152625e-10
167,2.721412647160975e-10
168,2.878271079659304e-10
169,3.047480026153668e-10
170,3.222984683693516e-10
171,3.408391841476239e-10
172,3.6060079894540497e-10
173,3.8153609052673384e-10
174,4.0554603267322606e-10
175,4.3149588972789625e-10
176,4.5879672156157826e-10
177,4.886368527971929e-10
178,5.195853794992754e-10
179,5.521883105014564e-10
180,5.867730931255535e-10
