,0
0,2.6847724529002984e-91
1,2.6847724525739427e-91
2,2.6847724522470126e-91
3,2.684772451919507e-91
4,2.6847724515914247e-91
5,2.684772451262765e-91
6,2.6847724509335275e-91
7,2.684772450603711e-91
8,2.6847724502733135e-91
9,2.6847724499423344e-91
10,2.684772449610773e-91
11,2.684772449278629e-91
12,2.6847724489458993e-91
13,2.6847724486125843e-91
14,2.684772448278683e-91
15,2.684772447944194e-91
16,2.684772447609117e-91
17,2.684772447273449e-91
18,2.6847724469371914e-91
19,2.6847724466003414e-91
20,2.6847724462628985e-91
21,2.684772445924862e-91
22,2.6847724455862314e-91
23,2.6847724452470035e-91
24,2.68477244490718e-91
25,2.684772444566757e-91
26,2.684772444225736e-91
27,2.6847724438841146e-91
28,2.684772443541893e-91
29,2.684772443199068e-91
30,2.6847724428556395e-91
31,2.684772442511607e-91
32,2.6847724421669695e-91
33,2.684772441821725e-91
34,2.684772441475873e-91
35,2.6847724411294127e-91
36,2.6847724407823425e-91
37,2.6847724404346613e-91
38,2.6847724400863687e-91
39,2.684772439737463e-91
40,2.6847724393879434e-91
41,2.684772439037808e-91
42,2.684772438687058e-91
43,2.684772438335689e-91
44,2.684772437983703e-91
45,2.684772437631097e-91
46,2.68477243727787e-91
47,2.6847724369240216e-91
48,2.6847724365695506e-91
49,2.6847724362144566e-91
50,2.6847724358587375e-91
51,2.6847724355023916e-91
52,2.684772435145419e-91
53,2.6847724347878185e-91
54,2.684772434429588e-91
55,2.684772434070728e-91
56,2.6847724337112357e-91
57,2.68477243335111e-91
58,2.684772432990353e-91
59,2.6847724326289596e-91
60,2.68477243226693e-91
61,2.684772431904264e-91
62,2.684772431540959e-91
63,2.684772431177015e-91
64,2.684772430812431e-91
65,2.684772430447206e-91
66,2.6847724300813365e-91
67,2.6847724297148244e-91
68,2.684772429347667e-91
69,2.684772428979863e-91
70,2.6847724286114124e-91
71,2.684772428242313e-91
72,2.6847724278725636e-91
73,2.6847724275021655e-91
74,2.684772427131114e-91
75,2.6847724267594095e-91
76,2.6847724263870515e-91
77,2.684772426014037e-91
78,2.6847724256403675e-91
79,2.68477242526604e-91
80,2.684772424891054e-91
81,2.684772424515407e-91
82,2.6847724241390994e-91
83,2.68477242376213e-91
84,2.6847724233844974e-91
85,2.684772423006199e-91
86,2.684772422627236e-91
87,2.6847724222476066e-91
88,2.6847724218673077e-91
89,2.684772421486341e-91
90,2.6847724211047025e-91
91,2.684772420722393e-91
92,2.6847724203394105e-91
93,2.684772419955755e-91
94,2.684772419571424e-91
95,2.6847724191864166e-91
96,2.68477241880073e-91
97,2.684772418414367e-91
98,2.684772418027323e-91
99,2.684772417639597e-91
100,2.6847724172511903e-91
101,2.6847724168620997e-91
102,2.684772416472324e-91
103,2.6847724160818627e-91
104,2.684772415690714e-91
105,2.684772415298877e-91
106,2.6847724149063513e-91
107,2.684772414513134e-91
108,2.6847724141192247e-91
109,2.6847724137246223e-91
110,2.684772413329325e-91
111,2.6847724129333323e-91
112,2.684772412536643e-91
113,2.6847724121392557e-91
114,2.6847724117411695e-91
115,2.684772411342382e-91
116,2.6847724109428924e-91
117,2.684772410542701e-91
118,2.684772410141804e-91
119,2.6847724097402026e-91
120,2.684772409337894e-91
121,2.684772408934877e-91
122,2.684772408531151e-91
123,2.6847724081267156e-91
124,2.684772407721567e-91
125,2.6847724073157063e-91
126,2.6847724069091315e-91
127,2.684772406501841e-91
128,2.684772406093833e-91
129,2.684772405685108e-91
130,2.684772405275663e-91
131,2.684772404865497e-91
132,2.68477240445461e-91
133,2.684772404043001e-91
134,2.6847724036306665e-91
