# time[s], T9[GK], density[g/cm^3], R[km], Ye

0.0000e+00 1.2000e+01 1.0000e+13 5.0000e+01 0.30000
2.5000e-05 1.0869e+01 8.5114e+12 5.1250e+01 0.30000
5.0000e-05 9.7313e+00 7.2444e+12 5.2500e+01 0.30000
7.6000e-05 8.6531e+00 6.3096e+12 5.3800e+01 0.30000
1.0100e-04 7.8374e+00 5.4954e+12 5.5050e+01 0.30000
1.2600e-04 7.1150e+00 4.8978e+12 5.6300e+01 0.30000
1.5100e-04 6.5640e+00 4.2659e+12 5.7550e+01 0.30000
1.7700e-04 6.0978e+00 3.8019e+12 5.8850e+01 0.30000
2.0200e-04 5.6777e+00 3.3884e+12 6.0100e+01 0.30000
2.2700e-04 5.3477e+00 2.9512e+12 6.1350e+01 0.30000
2.5200e-04 5.0138e+00 2.6303e+12 6.2600e+01 0.30000
2.7700e-04 4.7225e+00 2.3442e+12 6.3850e+01 0.30000
3.0300e-04 4.4277e+00 2.0418e+12 6.5150e+01 0.30000
3.2800e-04 4.2089e+00 1.8197e+12 6.6400e+01 0.30000
3.5300e-04 3.9643e+00 1.6218e+12 6.7650e+01 0.30000
3.7800e-04 3.7685e+00 1.4791e+12 6.8900e+01 0.30000
4.0300e-04 3.5578e+00 1.3183e+12 7.0150e+01 0.30000
4.2900e-04 3.3976e+00 1.2022e+12 7.1450e+01 0.30000
4.5400e-04 3.2372e+00 1.0965e+12 7.2700e+01 0.30000
4.7900e-04 3.0844e+00 1.0000e+12 7.3950e+01 0.30000
5.0400e-04 2.9592e+00 9.1202e+11 7.5200e+01 0.30000
5.2900e-04 2.8130e+00 8.3177e+11 7.6450e+01 0.30000
5.5500e-04 2.6988e+00 7.5858e+11 7.7750e+01 0.30000
5.8000e-04 2.5952e+00 6.9183e+11 7.9000e+01 0.30000
6.0500e-04 2.4842e+00 6.4566e+11 8.0250e+01 0.30000
6.3000e-04 2.3887e+00 5.8884e+11 8.1500e+01 0.30000
6.5600e-04 2.2813e+00 5.4954e+11 8.2800e+01 0.30000
6.8100e-04 2.1786e+00 5.0119e+11 8.4050e+01 0.30000
7.0600e-04 2.0998e+00 4.6774e+11 8.5300e+01 0.30000
7.3100e-04 2.0098e+00 4.2659e+11 8.6550e+01 0.30000
7.5600e-04 1.9283e+00 3.9811e+11 8.7800e+01 0.30000
7.8200e-04 1.8542e+00 3.7153e+11 8.9100e+01 0.30000
8.0700e-04 1.7668e+00 3.3884e+11 9.0350e+01 0.30000
8.3200e-04 1.6912e+00 3.1623e+11 9.1600e+01 0.30000
8.5700e-04 1.6262e+00 2.9512e+11 9.2850e+01 0.30000
8.8200e-04 1.5531e+00 2.7542e+11 9.4100e+01 0.30000
9.0800e-04 1.4831e+00 2.5704e+11 9.5400e+01 0.30000
9.3300e-04 1.4229e+00 2.3988e+11 9.6650e+01 0.30000
9.5800e-04 1.3620e+00 2.2387e+11 9.7900e+01 0.30000
9.8300e-04 1.2977e+00 2.0893e+11 9.9150e+01 0.30000
1.0090e-03 1.2251e+00 1.9498e+11 1.0045e+02 0.30000
1.0340e-03 1.1459e+00 1.8621e+11 1.0170e+02 0.30000
1.0590e-03 1.0572e+00 1.7379e+11 1.0295e+02 0.30000
1.0840e-03 9.7987e-01 1.6218e+11 1.0420e+02 0.30000
1.1090e-03 9.1447e-01 1.5489e+11 1.0545e+02 0.30000
1.1350e-03 8.6332e-01 1.4454e+11 1.0675e+02 0.30000
