# time[s], T9[GK], density[g/cm^3], R[km], Ye

0.0000e+00 1.0000e+01 1.2000e+13 5.0000e+01 0.03000
2.5000e-05 9.0572e+00 1.0214e+13 5.1250e+01 0.03000
5.0000e-05 8.1094e+00 8.6933e+12 5.2500e+01 0.03000
7.6000e-05 7.2109e+00 7.5715e+12 5.3800e+01 0.03000
1.0100e-04 6.5311e+00 6.5945e+12 5.5050e+01 0.03000
1.2600e-04 5.9291e+00 5.8774e+12 5.6300e+01 0.03000
1.5100e-04 5.4700e+00 5.1190e+12 5.7550e+01 0.03000
1.7700e-04 5.0815e+00 4.5623e+12 5.8850e+01 0.03000
2.0200e-04 4.7314e+00 4.0661e+12 6.0100e+01 0.03000
2.2700e-04 4.4565e+00 3.5415e+12 6.1350e+01 0.03000
2.5200e-04 4.1782e+00 3.1564e+12 6.2600e+01 0.03000
2.7700e-04 3.9354e+00 2.8130e+12 6.3850e+01 0.03000
3.0300e-04 3.6897e+00 2.4501e+12 6.5150e+01 0.03000
3.2800e-04 3.5074e+00 2.1837e+12 6.6400e+01 0.03000
3.5300e-04 3.3036e+00 1.9461e+12 6.7650e+01 0.03000
3.7800e-04 3.1404e+00 1.7749e+12 6.8900e+01 0.03000
4.0300e-04 2.9648e+00 1.5820e+12 7.0150e+01 0.03000
4.2900e-04 2.8314e+00 1.4427e+12 7.1450e+01 0.03000
4.5400e-04 2.6977e+00 1.3158e+12 7.2700e+01 0.03000
4.7900e-04 2.5704e+00 1.2000e+12 7.3950e+01 0.03000
5.0400e-04 2.4660e+00 1.0944e+12 7.5200e+01 0.03000
5.2900e-04 2.3442e+00 9.9813e+11 7.6450e+01 0.03000
5.5500e-04 2.2490e+00 9.1029e+11 7.7750e+01 0.03000
5.8000e-04 2.1627e+00 8.3020e+11 7.9000e+01 0.03000
6.0500e-04 2.0701e+00 7.7479e+11 8.0250e+01 0.03000
6.3000e-04 1.9906e+00 7.0661e+11 8.1500e+01 0.03000
6.5600e-04 1.9010e+00 6.5945e+11 8.2800e+01 0.03000
6.8100e-04 1.8155e+00 6.0143e+11 8.4050e+01 0.03000
7.0600e-04 1.7498e+00 5.6128e+11 8.5300e+01 0.03000
7.3100e-04 1.6749e+00 5.1190e+11 8.6550e+01 0.03000
7.5600e-04 1.6069e+00 4.7773e+11 8.7800e+01 0.03000
7.8200e-04 1.5452e+00 4.4584e+11 8.9100e+01 0.03000
8.0700e-04 1.4723e+00 4.0661e+11 9.0350e+01 0.03000
8.3200e-04 1.4093e+00 3.7947e+11 9.1600e+01 0.03000
8.5700e-04 1.3551e+00 3.5415e+11 9.2850e+01 0.03000
8.8200e-04 1.2942e+00 3.3050e+11 9.4100e+01 0.03000
9.0800e-04 1.2359e+00 3.0845e+11 9.5400e+01 0.03000
9.3300e-04 1.1858e+00 2.8786e+11 9.6650e+01 0.03000
9.5800e-04 1.1350e+00 2.6864e+11 9.7900e+01 0.03000
9.8300e-04 1.0814e+00 2.5072e+11 9.9150e+01 0.03000
1.0090e-03 1.0209e+00 2.3398e+11 1.0045e+02 0.03000
1.0340e-03 9.5495e-01 2.2345e+11 1.0170e+02 0.03000
1.0590e-03 8.8103e-01 2.0854e+11 1.0295e+02 0.03000
1.0840e-03 8.1656e-01 1.9461e+11 1.0420e+02 0.03000
1.1090e-03 7.6206e-01 1.8586e+11 1.0545e+02 0.03000
1.1350e-03 7.1943e-01 1.7345e+11 1.0675e+02 0.03000
1.1600e-03 6.6526e-01 1.6565e+11 1.0800e+02 0.03000
1.1850e-03 6.2086e-01 1.5459e+11 1.0925e+02 0.03000
1.2100e-03 5.8343e-01 1.4763e+11 1.1050e+02 0.03000
1.2350e-03 5.5334e-01 1.4099e+11 1.1175e+02 0.03000
1.2610e-03 5.1759e-01 1.3158e+11 1.1305e+02 0.03000
1.2860e-03 4.8528e-01 1.2566e+11 1.1430e+02 0.03000
1.3110e-03 4.5708e-01 1.2000e+11 1.1555e+02 0.03000
1.3360e-03 4.3550e-01 1.1460e+11 1.1680e+02 0.03000
1.3620e-03 4.1495e-01 1.0944e+11 1.1810e+02 0.03000
1.3870e-03 3.8993e-01 1.0452e+11 1.1935e+02 0.03000
1.4120e-03 3.6897e-01 9.9813e+10 1.2060e+02 0.03000
1.4370e-03 3.5155e-01 9.5320e+10 1.2185e+02 0.03000
1.4620e-03 3.3573e-01 9.1029e+10 1.2310e+02 0.03000
1.4880e-03 3.2358e-01 8.6933e+10 1.2440e+02 0.03000
1.5130e-03 3.0549e-01 8.3020e+10 1.2565e+02 0.03000
1.5380e-03 2.8973e-01 7.9284e+10 1.2690e+02 0.03000
1.5630e-03 2.7733e-01 7.7479e+10 1.2815e+02 0.03000
1.5880e-03 2.6668e-01 7.3991e+10 1.2940e+02 0.03000
1.6140e-03 2.5763e-01 7.0661e+10 1.3070e+02 0.03000
1.6390e-03 2.4773e-01 6.7481e+10 1.3195e+02 0.03000
1.6640e-03 2.3604e-01 6.5945e+10 1.3320e+02 0.03000
1.6890e-03 2.2594e-01 6.2977e+10 1.3445e+02 0.03000
1.7150e-03 2.1726e-01 6.1543e+10 1.3575e+02 0.03000
1.7400e-03 2.0940e-01 5.8774e+10 1.3700e+02 0.03000
1.7650e-03 2.0323e-01 5.6128e+10 1.3825e+02 0.03000
1.7900e-03 1.9769e-01 5.4851e+10 1.3950e+02 0.03000
1.8150e-03 1.8879e-01 5.2382e+10 1.4075e+02 0.03000
1.8410e-03 1.8113e-01 5.1190e+10 1.4205e+02 0.03000
1.8660e-03 1.7458e-01 4.8885e+10 1.4330e+02 0.03000
1.8910e-03 1.6865e-01 4.7773e+10 1.4455e+02 0.03000
1.9160e-03 1.6406e-01 4.6685e+10 1.4580e+02 0.03000
1.9410e-03 1.5995e-01 4.4584e+10 1.4705e+02 0.03000
1.9670e-03 1.5632e-01 4.3570e+10 1.4835e+02 0.03000
1.9920e-03 1.4997e-01 4.2578e+10 1.4960e+02 0.03000
2.0170e-03 1.4487e-01 4.0661e+10 1.5085e+02 0.03000
2.0420e-03 1.4028e-01 3.9735e+10 1.5210e+02 0.03000
2.0680e-03 1.3614e-01 3.8832e+10 1.5340e+02 0.03000
2.0930e-03 1.3274e-01 3.7083e+10 1.5465e+02 0.03000
2.1130e-03 1.2971e-01 3.6240e+10 1.5565e+02 0.03000
2.1430e-03 1.2735e-01 3.5415e+10 1.5715e+02 0.03000
2.1730e-03 1.2416e-01 3.4609e+10 1.5865e+02 0.03000
2.1930e-03 1.2023e-01 3.3050e+10 1.5965e+02 0.03000
2.2230e-03 1.1668e-01 3.2298e+10 1.6115e+02 0.03000
2.2430e-03 1.1350e-01 3.1564e+10 1.6215e+02 0.03000
2.2730e-03 1.1066e-01 3.0845e+10 1.6365e+02 0.03000
2.2930e-03 1.0839e-01 2.9457e+10 1.6465e+02 0.03000
2.3230e-03 1.0641e-01 2.8786e+10 1.6615e+02 0.03000
2.3430e-03 1.0472e-01 2.8130e+10 1.6715e+02 0.03000
2.3730e-03 1.0327e-01 2.7491e+10 1.6865e+02 0.03000
2.3930e-03 1.0046e-01 2.6864e+10 1.6965e+02 0.03000
2.4230e-03 9.7720e-02 2.6254e+10 1.7115e+02 0.03000
2.4430e-03 9.5495e-02 2.5656e+10 1.7215e+02 0.03000
2.4730e-03 9.3324e-02 2.5072e+10 1.7365e+02 0.03000
2.4930e-03 9.1619e-02 2.3943e+10 1.7465e+02 0.03000
2.5230e-03 9.0155e-02 2.3398e+10 1.7615e+02 0.03000
2.5430e-03 8.8714e-02 2.2866e+10 1.7715e+02 0.03000
2.5730e-03 8.7698e-02 2.2345e+10 1.7865e+02 0.03000
2.5930e-03 8.6895e-02 2.1837e+10 1.7965e+02 0.03000
2.6230e-03 8.4917e-02 2.1339e+10 1.8115e+02 0.03000
2.6430e-03 8.2793e-02 2.0854e+10 1.8215e+02 0.03000
2.6730e-03 8.1094e-02 2.0379e+10 1.8365e+02 0.03000
2.6930e-03 7.9431e-02 1.9915e+10 1.8465e+02 0.03000
2.7230e-03 7.7982e-02 1.9461e+10 1.8615e+02 0.03000
2.7530e-03 7.6735e-02 1.9019e+10 1.8765e+02 0.03000
2.7730e-03 7.5682e-02 1.8586e+10 1.8865e+02 0.03000
2.8030e-03 7.4643e-02 1.8163e+10 1.9015e+02 0.03000
2.8230e-03 7.3959e-02 1.7749e+10 1.9115e+02 0.03000
2.8530e-03 7.3450e-02 1.7345e+10 1.9265e+02 0.03000
2.8730e-03 7.2109e-02 1.6951e+10 1.9365e+02 0.03000
2.9030e-03 7.0630e-02 1.6565e+10 1.9515e+02 0.03000
2.9230e-03 6.9182e-02 1.6188e+10 1.9615e+02 0.03000
2.9530e-03 6.7919e-02 1.6188e+10 1.9765e+02 0.03000
2.9730e-03 6.6833e-02 1.5820e+10 1.9865e+02 0.03000
3.0030e-03 6.5916e-02 1.5459e+10 2.0015e+02 0.03000
3.0230e-03 6.5162e-02 1.5107e+10 2.0115e+02 0.03000
3.0530e-03 6.4565e-02 1.4763e+10 2.0265e+02 0.03000
3.0730e-03 6.3973e-02 1.4427e+10 2.0365e+02 0.03000
3.1030e-03 6.3532e-02 1.4099e+10 2.0515e+02 0.03000
3.1230e-03 6.3240e-02 1.3778e+10 2.0615e+02 0.03000
3.1530e-03 6.2372e-02 1.3558e+10 2.0765e+02 0.03000
3.1730e-03 6.1234e-02 1.3310e+10 2.0865e+02 0.03000
3.2030e-03 6.0394e-02 1.3037e+10 2.1015e+02 0.03000
3.2230e-03 5.9428e-02 1.2799e+10 2.1115e+02 0.03000
3.2530e-03 5.8613e-02 1.2537e+10 2.1265e+02 0.03000
3.2730e-03 5.7942e-02 1.2308e+10 2.1365e+02 0.03000
3.3030e-03 5.7411e-02 1.2055e+10 2.1515e+02 0.03000
3.3330e-03 5.6884e-02 1.1835e+10 2.1665e+02 0.03000
3.3530e-03 5.6492e-02 1.1619e+10 2.1765e+02 0.03000
3.3830e-03 5.6104e-02 1.1407e+10 2.1915e+02 0.03000
3.4030e-03 5.5846e-02 1.1173e+10 2.2015e+02 0.03000
3.4330e-03 5.5717e-02 1.0969e+10 2.2165e+02 0.03000
3.4530e-03 5.4953e-02 1.0769e+10 2.2265e+02 0.03000
3.4830e-03 5.4199e-02 1.0573e+10 2.2415e+02 0.03000
3.5030e-03 5.3456e-02 1.0380e+10 2.2515e+02 0.03000
3.5330e-03 5.2844e-02 1.0214e+10 2.2665e+02 0.03000
3.5530e-03 5.2239e-02 1.0027e+10 2.2765e+02 0.03000
3.5830e-03 5.1759e-02 9.8443e+09 2.2915e+02 0.03000
3.6030e-03 5.1285e-02 9.6646e+09 2.3015e+02 0.03000
3.6330e-03 5.0932e-02 9.5101e+09 2.3165e+02 0.03000
3.6530e-03 5.0582e-02 9.3365e+09 2.3265e+02 0.03000
3.6830e-03 5.0349e-02 9.1660e+09 2.3415e+02 0.03000
3.7030e-03 5.0118e-02 9.0196e+09 2.3515e+02 0.03000
3.7330e-03 5.0003e-02 8.8549e+09 2.3665e+02 0.03000
3.7530e-03 4.9888e-02 8.7133e+09 2.3765e+02 0.03000
3.7830e-03 4.9203e-02 8.5740e+09 2.3915e+02 0.03000
3.8030e-03 4.8639e-02 8.4175e+09 2.4015e+02 0.03000
3.8330e-03 4.7973e-02 8.2829e+09 2.4165e+02 0.03000
3.8530e-03 4.7532e-02 8.1505e+09 2.4265e+02 0.03000
3.8830e-03 4.6989e-02 8.0201e+09 2.4415e+02 0.03000
3.9130e-03 4.6557e-02 7.8920e+09 2.4565e+02 0.03000
3.9330e-03 4.6237e-02 7.7479e+09 2.4665e+02 0.03000
3.9630e-03 4.5919e-02 7.6240e+09 2.4815e+02 0.03000
3.9830e-03 4.5602e-02 7.5021e+09 2.4915e+02 0.03000
4.0130e-03 4.5394e-02 7.3822e+09 2.5065e+02 0.03000
4.0330e-03 4.5185e-02 7.2809e+09 2.5165e+02 0.03000
4.0630e-03 4.5081e-02 7.1645e+09 2.5315e+02 0.03000
4.0830e-03 4.4977e-02 7.0499e+09 2.5415e+02 0.03000
4.1130e-03 4.4977e-02 6.9372e+09 2.5565e+02 0.03000
4.1330e-03 4.4668e-02 6.8263e+09 2.5665e+02 0.03000
4.1630e-03 4.4156e-02 6.7171e+09 2.5815e+02 0.03000
4.1830e-03 4.3651e-02 6.6250e+09 2.5915e+02 0.03000
4.2130e-03 4.3250e-02 6.5190e+09 2.6065e+02 0.03000
4.2330e-03 4.2854e-02 6.4296e+09 2.6165e+02 0.03000
4.2630e-03 4.2559e-02 6.3268e+09 2.6315e+02 0.03000
4.2830e-03 4.2169e-02 6.2257e+09 2.6415e+02 0.03000
