time_days,Sb128 top 5
1.1582075067462385e-05,7.073317952911263e-88
1.1602457069257261e-05,7.073317952911263e-88
1.1622874939063245e-05,7.073317952911263e-88
1.1643328740000449e-05,7.073317952911263e-88
1.166381853530006e-05,7.073317952911263e-88
1.1684344388304543e-05,7.073317952911263e-88
1.1704906362467828e-05,7.073317952911263e-88
1.1725504521355514e-05,7.073317952911263e-88
1.1746138928645058e-05,7.073317952911263e-88
1.1766809648125983e-05,7.073317952911263e-88
1.1787516743700058e-05,7.073317952911263e-88
1.1808260279381518e-05,7.073317952911263e-88
1.1829040319297239e-05,7.073317952911263e-88
1.1849856927686948e-05,7.073317952911263e-88
1.1870710168903427e-05,7.073317952911263e-88
1.1891600107412698e-05,7.073317952911263e-88
1.1912526807794235e-05,7.073317952911263e-88
1.1933490334741154e-05,7.073317952911263e-88
1.195449075306042e-05,7.073317952911263e-88
1.1975528127673041e-05,7.073317952911263e-88
1.1996602523614279e-05,7.073317952911263e-88
1.2017714006033838e-05,7.073317952911263e-88
1.203886264019607e-05,7.073317952911263e-88
1.206004849148019e-05,7.073317952911263e-88
1.2081271625380452e-05,7.073317952911263e-88
1.2102532107506378e-05,7.073317952911263e-88
1.2123830003582939e-05,7.073317952911263e-88
1.2145165379450777e-05,7.073317952911263e-88
1.2166538301066392e-05,7.073317952911263e-88
1.2187948834502359e-05,7.073317952911263e-88
1.2209397045947523e-05,7.073317952911263e-88
1.2230883001707209e-05,7.073317952911263e-88
1.2252406768203427e-05,7.073317952911263e-88
1.2273968411975074e-05,7.073317952911263e-88
1.229556799967814e-05,7.073317952911263e-88
1.2317205598085917e-05,7.073317952911263e-88
1.2338881274089202e-05,7.073317952911263e-88
1.2360595094696511e-05,7.073317952911263e-88
1.2382347127034275e-05,7.073317952911263e-88
1.2404137438347057e-05,7.073317952911263e-88
1.2425966095997752e-05,7.073317952911263e-88
1.2447833167467804e-05,7.073317952911263e-88
1.2469738720357409e-05,7.073317952911263e-88
1.2491682822385722e-05,7.073317952911263e-88
1.2513665541391072e-05,7.073317952911263e-88
1.253568694533117e-05,7.073317952911263e-88
1.2557747102283315e-05,7.073317952911263e-88
1.2579846080444613e-05,7.073317952911263e-88
1.2601983948132175e-05,7.073317952911263e-88
1.2624160773783341e-05,7.073317952911263e-88
1.2646376625955889e-05,7.073317952911263e-88
1.2668631573328232e-05,7.073317952911263e-88
1.2690925684699658e-05,7.073317952911263e-88
1.2713259028990516e-05,7.073317952911263e-88
1.2735631675242447e-05,7.073317952911263e-88
1.2758043692618582e-05,7.073317952911263e-88
1.2780495150403777e-05,7.073317952911263e-88
1.2802986118004803e-05,7.073317952911263e-88
1.2825516664950577e-05,7.073317952911263e-88
1.2848086860892376e-05,7.073317952911263e-88
1.2870696775604044e-05,7.073317952911263e-88
1.2893346478982209e-05,7.073317952911263e-88
1.2916036041046513e-05,7.073317952911263e-88
1.2938765531939804e-05,7.073317952911263e-88
1.2961535021928377e-05,7.073317952911263e-88
1.2984344581402177e-05,2.0829114753347314e-11
1.3007194280875022e-05,4.618665039036521e-11
1.3030084190984819e-05,9.618284157264014e-11
1.3053014382493775e-05,1.898140196846663e-10
1.307598492628864e-05,3.578248668751419e-10
1.3098995893380895e-05,6.476071234435824e-10
1.3122047354906992e-05,1.1309903990255744e-09
1.3145139382128569e-05,1.913450007085921e-09
1.3168272046432665e-05,3.1502846676398195e-09
1.319144541933195e-05,5.055447139446204e-09
1.321465957246494e-05,7.94092427134558e-09
1.3237914577596218e-05,1.2220311770323623e-08
1.3261210506616655e-05,1.8474503688588194e-08
1.3284547431543642e-05,2.74439662020641e-08
1.3307925424521302e-05,4.018884281471207e-08
1.3331344557820713e-05,5.8066516885913226e-08
1.3354804903840137e-05,8.284088318353344e-08
1.3378306535105248e-05,1.168382329622525e-07
1.3401849524269335e-05,1.6316854010249535e-07
1.3425433944113557e-05,2.2570213872596162e-07
1.3449059867547146e-05,3.095968712708808e-07
1.3472727367607635e-05,4.2116575140840387e-07
1.3496436517461091e-05,5.687763043835309e-07
1.3520187390402345e-05,7.627457319305338e-07
1.3543980059855197e-05,1.0160098017029187e-06
1.3567814599372669e-05,1.3462554365869253e-06
1.3591691082637213e-05,1.773071557608009e-06
1.3615609583460955e-05,2.3219940788556022e-06
1.3639570175785907e-05,3.0262507388010776e-06
