,0
0,1.4404491445107057e-90
1,1.4404491442176948e-90
2,1.4404491439241684e-90
3,1.4404491436301257e-90
4,1.4404491433355648e-90
5,1.4404491430404866e-90
6,1.4404491427448882e-90
7,1.44044914244877e-90
8,1.4404491421521307e-90
9,1.4404491418549694e-90
10,1.4404491415572851e-90
11,1.4404491412590767e-90
12,1.4404491409603438e-90
13,1.4404491406610849e-90
14,1.4404491403613e-90
15,1.440449140060987e-90
16,1.4404491397601458e-90
17,1.440449139458775e-90
18,1.440449139156874e-90
19,1.4404491388544413e-90
20,1.4404491385514767e-90
21,1.440449138247979e-90
22,1.440449137943947e-90
23,1.4404491376393806e-90
24,1.4404491373342773e-90
25,1.440449137028638e-90
26,1.4404491367224599e-90
27,1.4404491364157437e-90
28,1.4404491361084874e-90
29,1.4404491358006906e-90
30,1.4404491354923519e-90
31,1.4404491351834707e-90
32,1.4404491348740456e-90
33,1.4404491345640766e-90
34,1.440449134253562e-90
35,1.4404491339425005e-90
36,1.4404491336308923e-90
37,1.4404491333187353e-90
38,1.440449133006029e-90
39,1.4404491326927727e-90
40,1.4404491323789648e-90
41,1.4404491320646044e-90
42,1.4404491317496912e-90
43,1.4404491314342238e-90
44,1.4404491311182014e-90
45,1.4404491308016224e-90
46,1.4404491304844864e-90
47,1.4404491301667925e-90
48,1.440449129848539e-90
49,1.4404491295297265e-90
50,1.4404491292103522e-90
51,1.4404491288904163e-90
52,1.440449128569917e-90
53,1.4404491282488537e-90
54,1.4404491279272252e-90
55,1.4404491276050312e-90
56,1.4404491272822702e-90
57,1.440449126958941e-90
58,1.4404491266350433e-90
59,1.4404491263105748e-90
60,1.4404491259855354e-90
61,1.4404491256599245e-90
62,1.4404491253337401e-90
63,1.440449125006982e-90
64,1.4404491246796488e-90
65,1.4404491243517395e-90
66,1.4404491240232536e-90
67,1.4404491236941887e-90
68,1.4404491233645456e-90
69,1.440449123034322e-90
70,1.440449122703517e-90
71,1.4404491223721307e-90
72,1.4404491220401606e-90
73,1.440449121707606e-90
74,1.440449121374467e-90
75,1.4404491210407412e-90
76,1.4404491207064284e-90
77,1.4404491203715272e-90
78,1.4404491200360362e-90
79,1.4404491196999554e-90
80,1.440449119363283e-90
81,1.440449119026018e-90
82,1.4404491186881597e-90
