time_days,Sb129 top 16
1.1582075069193287e-05,7.79830210516518e-88
1.1602457070991036e-05,7.79830210516518e-88
1.1622874940799898e-05,7.79830210516518e-88
1.1643328741739983e-05,7.79830210516518e-88
1.166381853704248e-05,7.79830210516518e-88
1.1684344390049854e-05,7.79830210516518e-88
1.1704906364216036e-05,7.79830210516518e-88
1.1725504523106622e-05,7.79830210516518e-88
1.1746138930399075e-05,7.79830210516518e-88
1.1766809649882908e-05,7.79830210516518e-88
1.1787516745459903e-05,7.79830210516518e-88
1.180826028114428e-05,7.79830210516518e-88
1.1829040321062927e-05,7.79830210516518e-88
1.1849856929455566e-05,7.79830210516518e-88
1.1870710170674981e-05,7.79830210516518e-88
1.1891600109187192e-05,7.79830210516518e-88
1.1912526809571673e-05,7.79830210516518e-88
1.1933490336521541e-05,7.79830210516518e-88
1.1954490754843761e-05,7.79830210516518e-88
1.1975528129459342e-05,7.79830210516518e-88
1.1996602525403544e-05,7.79830210516518e-88
1.2017714007826071e-05,7.79830210516518e-88
1.203886264199128e-05,7.79830210516518e-88
1.2060048493278378e-05,7.79830210516518e-88
1.2081271627181624e-05,7.79830210516518e-88
1.210253210931054e-05,7.79830210516518e-88
1.2123830005390094e-05,7.79830210516518e-88
1.2145165381260928e-05,7.79830210516518e-88
1.2166538302879548e-05,7.79830210516518e-88
1.2187948836318523e-05,7.79830210516518e-88
1.22093970477667e-05,7.79830210516518e-88
1.2230883003529405e-05,7.79830210516518e-88
1.225240677002865e-05,7.79830210516518e-88
1.2273968413803324e-05,7.79830210516518e-88
1.2295568001509422e-05,7.79830210516518e-88
1.2317205599920236e-05,7.79830210516518e-88
1.2338881275926567e-05,7.79830210516518e-88
1.2360595096536924e-05,7.79830210516518e-88
1.2382347128877744e-05,7.79830210516518e-88
1.2404137440193583e-05,7.79830210516518e-88
1.2425966097847342e-05,7.79830210516518e-88
1.2447833169320463e-05,7.79830210516518e-88
1.246973872221314e-05,7.79830210516518e-88
1.2491682824244532e-05,7.79830210516518e-88
1.2513665543252967e-05,7.79830210516518e-88
